id,state,location
1853,oh,Lorain (OH)
1854,oh,Macedonia
1856,oh,Market at East Broad
1860,oh,Medina (OH)
1866,oh,Parma (OH)
1869,oh,Polaris Parkway
1877,oh,Springdale
1878,oh,Springfield (OH)
1882,oh,The OSU In-Line
1883,oh,Tiffany Square Plaza
1885,oh,Tuttle Crossing (OH)
1905,ok,Bixby North
1916,ok,McAlester [OK]
1917,ok,Moore
1927,ok,Quail Springs
1929,ok,Rockwell North
1930,ok,Rockwell South
1936,ok,SSM Health St. Anthony Hospital
1940,ok,University of Oklahoma
1951,or,I-5 & Chemawa Rd.
1954,or,Tanasbourne
1955,or,Tualatin Valley Hwy & 67th Ave.
1956,pa,12th Street
1957,pa,4040 City Ave In-Line
1959,pa,Adams Plaza
1962,pa,Audubon
1967,pa,Broadcasting Square
1972,pa,Cheltenham
1973,pa,Collier Township (PA)
1975,pa,Concord Township
1977,pa,Dickson City
1978,pa,Downingtown
1982,pa,East York
1984,pa,Erie
1987,pa,Fox Chapel
1990,pa,Gateway at Sanatoga
1994,pa,Happy Valley
1996,pa,HersheyPark Food Truck
2004,pa,Lansdale
2012,pa,Lower Allen
2022,pa,Northeast Tower
2023,pa,Oxford Valley Road
2024,pa,Penrose (Platt Bridge)
2025,pa,Philadelphia International Airport - B/C Connector
2026,pa,Philadelphia International Airport - Concourse E
2027,pa,Pittsburgh International Airport
2028,pa,Pleasant Hills
2031,pa,Ridley
2033,pa,Royersford
2036,pa,Somerton (PA)
2038,pa,Springfield Park
2044,pa,University of Pittsburgh
2049,pa,Wayne Square In-Line
2064,sc,Ballentine
2067,sc,Bluffton
2068,sc,Bob Jones University
2069,sc,Boiling Springs
2072,sc,Cane Bay
2078,sc,Cherry Road
2082,sc,Clemson
2083,sc,Clemson University
2084,sc,Clemson University - Hendrix Student Center
2085,sc,Coastal Carolina University
2086,sc,Coastal Grand
2087,sc,College of Charleston - Berry Hall
2093,sc,Five Points
2095,sc,Furman University-Student Center
2100,sc,Greenville-Spartanburg International Airport
2102,sc,Greenwood Drive-Thru Only
2104,sc,Harbison Blvd.
2106,sc,Haywood Road
2110,sc,James Island
2113,sc,Lander University
2115,sc,Laurens Road
2119,sc,Manning [SC]
2121,sc,McCrays Mill
2125,sc,Murrells Inlet
2126,sc,Myrtle Beach International Airport
2127,sc,NE Main St.
2128,sc,Newberry College
2133,sc,Orangeburg
2134,sc,Pelham Road
2135,sc,Powdersville
2136,sc,Red Bank
2143,sc,South Two Notch Road & I-20
2150,sc,The Citadel Military College
2153,sc,University of South Carolina
2155,sc,US 17 at Hwy 22
2156,sc,West Columbia
2157,sc,West Florence
2164,sd,Empire Place (SD)
2169,tn,Belmont University
2176,tn,Charlotte Pike
2177,tn,Church Street - Nashville
2178,tn,Collierville
2182,tn,Crossville [TN]
2189,tn,Erlanger Health Systems
2192,tn,Gallatin
2197,tn,Hamilton Place
2199,tn,Highway 66
2200,tn,Homberg Drive
2203,tn,Jackson [TN]
2204,tn,Jackson-Madison County Hospital
2207,tn,Kingston Overlook
2209,tn,Lee University
2212,tn,Lipscomb University
2215,tn,Melrose Music City
2217,tn,Memphis International Airport - Terminal B
2219,tn,Middle Tennessee State University
2221,tn,Morristown
2223,tn,Nashville International Airport
2224,tn,Nolensville Pike
2231,tn,Paragon Place
2237,tn,Smyrna (TN)
2240,tn,Stone Drive
2241,tn,Summer Ave
2243,tn,Tennessee Tech University
2244,tn,Tennessee Tower
2245,tn,The Mall at Johnson City
2253,tn,University of Memphis-University Center
2254,tn,University of Tennessee
2255,tn,University of Tennessee - Rocky Top Building
2256,tn,University of Tennessee Health Science Center
2257,tn,University of Tennessee-Chattanooga
2258,tn,University of Tennessee-Martin
2260,tn,West Broadway Avenue [TN]
2263,tn,West Town Drive-Thru Only (OLD)
2264,tn,West Town Mall
2275,tx,1960 and Eldridge Parkway
2276,tx,242 & Harpers Preserve
2287,tx,45 & Woodridge
2289,tx,59 & Fondren
2291,tx,59 & West Airport Drive-Thru Only
2292,tx,59 and Little York Drive-Thru Only
2294,tx,6th & Congress In-Line
2295,tx,75 and Campbell
2299,tx,Abilene Christian University
2301,tx,Addison
2305,tx,Alden Bridge Village Center
2311,tx,Angelo State University
2320,tx,Baylor University Medical Center
2322,tx,Baylor University Student Union
2328,tx,Beltway 8 & Pearland Parkway
2345,tx,Cedar Hill
2348,tx,Central Mall (TX)
2349,tx,Centreport
2354,tx,Cinco Ranch
2355,tx,City Base Landing
2359,tx,Cockrell Hill Drive-Thru Only
2363,tx,Cook Children's Medical Center
2368,tx,Crosby
2372,tx,Dallas Baptist University
2374,tx,Dallas/Fort Worth Intl Airport (DFW) - Terminal C
2375,tx,Dallas/Fort Worth Intl Airport (DFW) - Terminal E
2376,tx,Dallas/Fort Worth Intl Airport (DFW) -Terminal D
2377,tx,Debbie Ln & Matlock Rd
2379,tx,Deerbrook Mall
2381,tx,Denison [TX]
2384,tx,DeZavala Road
2391,tx,East Texas Baptist University
2397,tx,Elm St In-Line
2400,tx,ExxonMobil
2403,tx,First Colony Mall
2411,tx,Franklin Avenue
2415,tx,Galleria I
2416,tx,Gates Of Prosper
2425,tx,Groves [TX]
2430,tx,Henderson [TX]
2431,tx,Hendrick Medical Center
2437,tx,Houston Baptist University
2438,tx,Houston Center
2439,tx,Houston George Bush Inter'l Airport - Terminal A
2440,tx,Houston George Bush Inter'l Airport - Terminal B
2448,tx,Hwy 191 at Faudree Road
2455,tx,Hwy. 6 & Bellaire
2460,tx,I-10 at John Martin Rd
2485,tx,Knickerbocker
2486,tx,Kyle
2487,tx,La Palmera Mall
2491,tx,Lake Highlands In-Line DT
2499,tx,Las Colinas
2507,tx,Lockheed Martin
2508,tx,Longview Mall
2510,tx,Louis Henna Blvd Drive-Thru Only
2514,tx,Main & Houston In-Line DT
2515,tx,Main & Kirby
2522,tx,Marshall
2529,tx,Memorial City Mall
2530,tx,Mercedes [TX]
2532,tx,Mesquite
2533,tx,Meyer Park Center
2547,tx,N. Loop 610 & Shepherd
2553,tx,North Beltline Road
2568,tx,One Allen Center
2579,tx,Pennzoil Place
2584,tx,Plano Parkway
2588,tx,Prairie View A&M University
2592,tx,Preston Road & Hwy 121
2596,tx,Rankin Hwy & Wolcott Ave
2597,tx,Rayzor Ranch
2602,tx,Rio Grande City [TX]
2612,tx,Sam Houston State University
2617,tx,Seguin Road
2636,tx,Southwest Pkwy [TX]
2637,tx,Spanish Village
2641,tx,Stacy Road
2643,tx,Stephen F. Austin University
2644,tx,Stephenville [TX]
2645,tx,Stockyards
2649,tx,Sugar Land
2653,tx,Sunnyvale Centre
2655,tx,Sunset Mall
2657,tx,Tarleton State University
2667,tx,Texas Christian University
2671,tx,Texas Southern University
2672,tx,Texas State University
2673,tx,Texas Tech University
2674,tx,Texas Tech University - College of Business
2679,tx,The Crossroads
2684,tx,The Woodlands Mall
2694,tx,University of Houston-University Center
2697,tx,University of Texas - El Paso
2700,tx,University of Texas Medical Branch
2701,tx,University of Texas-Arlington
2702,tx,University of Texas-Austin
2704,tx,University of Texas-Dallas
2705,tx,University of Texas-San Antonio (UTSA)
2722,tx,West Lufkin
2724,tx,West Texas A&M University
2735,tx,William P. Hobby Airport
2743,ut,Bluff Street & Blackridge Drive
2746,ut,City Creek Center
2758,ut,Murray
2764,ut,South Towne Marketplace
2768,ut,Sugar House
2770,ut,The Crossing in Saratoga Springs
2773,ut,Utah Valley University
2776,va,Annandale
2779,va,Ballston Quarter
2780,va,Barracks Road
2795,va,Chippenham Hospital
2797,va,Christopher Newport
2801,va,Crossways Center
2802,va,Crystal City In-Line
2815,va,George Mason University (SUB 1)
2820,va,Hampton University
2828,va,Kingstowne In-Line DT
2831,va,Lee's Hill
2833,va,Liberty University - Tilley
2834,va,Longwood University
2842,va,Monticello Marketplace
2844,va,Newmarket
2845,va,Norfolk State University
2848,va,Oaklawn
2849,va,Old Dominion University
2850,va,Old Dominion University - University Village
2855,va,Pentagon City InLine
2859,va,Radford University
2861,va,Richmond Financial District
2863,va,Riverside Drive
2868,va,Seven Corners In-Line
2871,va,Signal Hill
2873,va,Southern Hills Drive
2874,va,Southpark (VA)
2876,va,Spotsylvania Towne Centre
2877,va,Springfield In-Line DT
2879,va,Stratford Hills
2883,va,The Shops at Willow Lawn
2884,va,Timberlake Road
2885,va,Tuckernuck Plaza
2886,va,Tyson's West In-Line
2897,va,Virginia Commonwealth University Health
2900,va,Virginia Tech
2903,va,Washington Dulles Airport - Terminal B
2904,va,Washington Dulles International Airport
2905,va,Waynesboro
2907,va,White Oak Village
2912,va,Woodbrook Drive
2914,dc,7th Street[DC] In-Line
2915,dc,Capitol Hill East Drive-Thru Only
2918,dc,DC USA In-Line
2920,dc,Ft. Totten
2923,dc,Ronald Reagan Washington National Airport
2924,dc,Tenleytown In-Line
2925,dc,Union Station
2930,wa,Bonney Lake
